path,name,score,size_bytes,axis_path_hits,axis_text_hits,is_textlike,binary_meta,preview
GSM7512007_Sample6E_features.tsv.gz,GSM7512007,,features.tsv
GSM7512007_Sample6E_matrix.mtx.gz,GSM7512007,,matrix.mtx
GSM7512008_Sample6R_barcodes.tsv.gz,GSM7512008,,barcodes.tsv
GSM7512008_Sample6R_features.tsv.gz,GSM7512008,,features.tsv
GSM7512008_Sample6R_matrix.mtx.gz,GSM7512008,,matrix.mtx
GSM7512009_Sample7D_barcodes.tsv.gz,GSM7512009,,barcodes.tsv
GSM7512009_Sample7D_features.tsv.gz,GSM7512009,,features.tsv
GSM7512009_Sample7D_matrix.mtx.gz,GSM7512009,,matrix.mtx
GSM7512010_Sample8D_barcodes.tsv.gz,GSM7512010,,barcodes.tsv
GSM7512010_Sample8D_features.tsv.gz,GSM7512010,,features.tsv
GSM7512010_Sample8D_matrix.mtx.gz,GSM7512010,,matrix.mtx
GSM7512011_Sample9D_barcodes.tsv.gz,GSM7512011,,barcodes.tsv
GSM7512011_Sample9D_features.tsv.gz,GSM7512011,,features.tsv
GSM7512011_Sample9D_matrix.mtx.gz,GSM7512011,,matrix.mtx
GSM7512012_Sample10D_barcodes.tsv.gz,GSM7512012,,barcodes.tsv
GSM7512012_Sample10D_features.tsv.gz,GSM7512012,,features.tsv
GSM7512012_Sample10D_matrix.mtx.gz,GSM7512012,,matrix.mtx
GSM7512013_Sample11D_barcodes.tsv.gz,GSM7512013,,barcodes.tsv
GSM7512013_Sample11D_features.tsv.gz,GSM7512013,,features.tsv
GSM7512013_Sample11D_matrix.mtx.gz,GSM7512013,,matrix.mtx
GSM7512014_Sample12D_barcodes.tsv.gz,GSM7512014,,barcodes.tsv
GSM7512014_Sample12D_features.tsv.gz,GSM7512014,,features.tsv
GSM7512014_Sample12D_matrix.mtx.gz,GSM7512014,,matrix.mtx
GSM7512015_Sample13D_barcodes.tsv.gz,GSM7512015,,barcodes.tsv
GSM7512015_Sample13D_features.tsv.gz,GSM7512015,,features.tsv
GSM7512015_Sample13D_matrix.mtx.gz,GSM7512015,,matrix.mtx
GSM7512016_Sample14D_barcodes.tsv.gz,GSM7512016,,barcodes.tsv
GSM7512016_Sample14D_features.tsv.gz,GSM7512016,,features.tsv
GSM7512016_Sample14D_matrix.mtx.gz,GSM7512016,,matrix.mtx
GSM7512017_Sample14E_barcodes.tsv.gz,GSM7512017,,barcodes.tsv
GSM7512017_Sample14E_features.tsv.gz,GSM7512017,,features.tsv
GSM7512017_Sample14E_matrix.mtx.gz,GSM7512017,,matrix.mtx
GSM7512018_Sample15E_barcodes.tsv.gz,GSM7512018,,barcodes.tsv
GSM7512018_Sample15E_features.tsv.gz,GSM7512018,,features.tsv
GSM7512018_Sample15E_matrix.mtx.gz,GSM7512018,,matrix.mtx
GSM7512019_Sample16D_barcodes.tsv.gz,GSM7512019,,barcodes.tsv
GSM7512019_Sample16D_features.tsv.gz,GSM7512019,,features.tsv
GSM7512019_Sample16D_matrix.mtx.gz,GSM7512019,,matrix.mtx
GSM7512020_Sam"
/Users/seung-hwan.kim/Desktop/Ecotype_OU_Branching/GSE235923/GSE235923_RAW/gse235923_manifest_all.csv,gse235923_manifest_all.csv,3,4497,{},{},True,,"gsm,sample_base,timepoint,sample_id,barcodes_file,features_file,matrix_file
GSM7511998,Sample1,DX,Sample1_DX,GSM7511998_Sample1D_barcodes.tsv.gz,GSM7511998_Sample1D_features.tsv.gz,GSM7511998_Sample1D_matrix.mtx.gz
GSM7512012,Sample10,DX,Sample10_DX,GSM7512012_Sample10D_barcodes.tsv.gz,GSM7512012_Sample10D_features.tsv.gz,GSM7512012_Sample10D_matrix.mtx.gz
GSM7512013,Sample11,DX,Sample11_DX,GSM7512013_Sample11D_barcodes.tsv.gz,GSM7512013_Sample11D_features.tsv.gz,GSM7512013_Sample11D_matrix.mtx.gz
GSM7512014,Sample12,DX,Sample12_DX,GSM7512014_Sample12D_barcodes.tsv.gz,GSM7512014_Sample12D_features.tsv.gz,GSM7512014_Sample12D_matrix.mtx.gz
GSM7512015,Sample13,DX,Sample13_DX,GSM7512015_Sample13D_barcodes.tsv.gz,GSM7512015_Sample13D_features.tsv.gz,GSM7512015_Sample13D_matrix.mtx.gz
GSM7512016,Sample14,DX,Sample14_DX,GSM7512016_Sample14D_barcodes.tsv.gz,GSM7512016_Sample14D_features.tsv.gz,GSM7512016_Sample14D_matrix.mtx.gz
GSM7512019,Sample16,DX,Sample16_DX,GSM7512019_Sample16D_barcodes.tsv.gz,GSM7512019_Sample16D_features.tsv.gz,GSM7512019_Sample16D_matrix.mtx.gz
GSM7512021,Sample17,DX,Sample17_DX,GSM7512021_Sample17D_barcodes.tsv.gz,GSM7512021_Sample17D_features.tsv.gz,GSM7512021_Sample17D_matrix.mtx.gz
GSM7512023,Sample18,DX,Sample18_DX,GSM7512023_Sample18Dx_barcodes.tsv.gz,GSM7512023_Sample18Dx_features.tsv.gz,GSM7512023_Sample18Dx_matrix.mtx.gz
GSM7512025,Sample19,DX,Sample19_DX,GSM7512025_Sample19D_barcodes.tsv.gz,GSM7512025_Sample19D_features.tsv.gz,GSM7512025_Sample19D_matrix.mtx.gz
GSM7511999,Sample2,DX,Sample2_DX,GSM7511999_Sample2D_barcodes.tsv.gz,GSM7511999_Sample2D_features.tsv.gz,GSM7511999_Sample2D_matrix.mtx.gz
GSM7512027,Sample20,DX,Sample20_DX,GSM7512027_Sample20D_barcodes.tsv.gz,GSM7512027_Sample20D_features.tsv.gz,GSM7512027_Sample20D_matrix.mtx.gz
GSM7512000,Sample3,DX,Sample3_DX,GSM7512000_Sample3D_barcodes.tsv.gz,GSM7512000_Sample3D_features.tsv.gz,GSM7512000_Sample3D_matrix.mtx.gz
GSM7512002,Sample4,DX,Sample4_DX,GSM7512002_Sample4D_barcodes.tsv.gz,GSM7512002_Sample4D_features.tsv.gz,GSM7512002_Sample4D_matrix.mtx.gz
GSM7512003,Sample5,DX,Sample5_DX,GSM7512003_Sample5D_barcodes.tsv.gz,GSM7512003_Sample5D_features.tsv.gz,GSM7512003_Sample5D_matrix.mtx.gz
GSM7512006,Sample6,DX,Sample6_DX,GSM7512006_Sample6D_barcodes.tsv.gz,GSM7512006_Sample6D_features.tsv.gz,GSM7512006_Sample6D_matrix.mtx.gz
GSM7512009,Sample7,DX,Sample7_DX,GSM7512009_Sample7D_barcodes.tsv.gz,GSM7512009_Sample7D_features.tsv.gz,GSM7512009_Sample7D_matrix.mtx.gz
GSM7512010,Sample8,DX,Sample8_DX,GSM7512010_Sample8D_barcodes.tsv.gz,GSM7512010_Sample8D_features.tsv.gz,GSM7512010_Sample8D_matrix.mtx.gz
GSM7512011,Sample9,DX,Sample9_DX,GSM7512011_Sample9D_barcodes.tsv.gz,GSM7512011_Sample9D_features.tsv.gz,GSM7512011_Sample9D_matrix.mtx.gz
GSM7512017,Sample14,EOI,Sample14_EOI,GSM7512017_Sample14E_barcodes.tsv.gz,GSM7512017_Sample14E_features.tsv.gz,GSM7512017_Sample14E_matrix.mtx.gz
GSM7512018,Sample15,EOI,Sample15_EOI,GSM7512018_Sample15E_barcodes.tsv.gz,GSM7512018_Sample15E_features.tsv.gz,GSM7512018_Sample15E_matrix.mtx.gz
GSM7512020,Sample16,EOI,Sample16_EOI,GSM7512020_Sample16E_barcodes.tsv.gz,GSM7512020_Sample16E_features.tsv.gz,GSM7512020_Sample16E_matrix.mtx.gz
GSM7512022,Sample17,EOI,Sample17_EOI,GSM7512022_Sample17E_barcodes.tsv.gz,GSM7512022_Sample17E_features.tsv.gz,GSM7512022_Sample17E_matrix.mtx.gz
GSM7512024,Sample18,EOI,Sample18_EOI,GSM7512024_Sample18E_barcodes.tsv.gz,GSM7512024_Sample18E_features.tsv.gz,GSM7512024_Sample18E_matrix.mtx.gz
GSM7512026,Sample19,EOI,Sample19_EOI,GSM7512026_Sample19E_barcodes.tsv.gz,GSM7512026_Sample19E_features.tsv.gz,GSM7512026_Sample19E_matrix.mtx.gz
GSM7512028,Sample20,EOI,Sample20_EOI,GSM7512028_Sample20E_barcodes.tsv.gz,GSM7512028_Sample20E_features.tsv.gz,GSM7512028_Sample20E_matrix.mtx.gz
GSM7512001,Sample3,EOI,Sample3_EOI,GSM7512001_Sample3E_barcodes.tsv.gz,GSM7512001_Sample3E_features.tsv.gz,GSM7512001_Sample3E_matrix.mtx.gz
GSM7512004,Sample5,EOI,Sample5_EOI,GSM7512004_Sample5E_barcodes.tsv"
/Users/seung-hwan.kim/Desktop/Ecotype_OU_Branching/GSE235923/GSE235923_RAW/gse235923_manifest_dx.csv,gse235923_manifest_dx.csv,3,2770,{},{},True,,"gsm,sample_base,timepoint,sample_id,barcodes_file,features_file,matrix_file
GSM7511998,Sample1,DX,Sample1_DX,GSM7511998_Sample1D_barcodes.tsv.gz,GSM7511998_Sample1D_features.tsv.gz,GSM7511998_Sample1D_matrix.mtx.gz
GSM7512012,Sample10,DX,Sample10_DX,GSM7512012_Sample10D_barcodes.tsv.gz,GSM7512012_Sample10D_features.tsv.gz,GSM7512012_Sample10D_matrix.mtx.gz
GSM7512013,Sample11,DX,Sample11_DX,GSM7512013_Sample11D_barcodes.tsv.gz,GSM7512013_Sample11D_features.tsv.gz,GSM7512013_Sample11D_matrix.mtx.gz
GSM7512014,Sample12,DX,Sample12_DX,GSM7512014_Sample12D_barcodes.tsv.gz,GSM7512014_Sample12D_features.tsv.gz,GSM7512014_Sample12D_matrix.mtx.gz
GSM7512015,Sample13,DX,Sample13_DX,GSM7512015_Sample13D_barcodes.tsv.gz,GSM7512015_Sample13D_features.tsv.gz,GSM7512015_Sample13D_matrix.mtx.gz
GSM7512016,Sample14,DX,Sample14_DX,GSM7512016_Sample14D_barcodes.tsv.gz,GSM7512016_Sample14D_features.tsv.gz,GSM7512016_Sample14D_matrix.mtx.gz
GSM7512019,Sample16,DX,Sample16_DX,GSM7512019_Sample16D_barcodes.tsv.gz,GSM7512019_Sample16D_features.tsv.gz,GSM7512019_Sample16D_matrix.mtx.gz
GSM7512021,Sample17,DX,Sample17_DX,GSM7512021_Sample17D_barcodes.tsv.gz,GSM7512021_Sample17D_features.tsv.gz,GSM7512021_Sample17D_matrix.mtx.gz
GSM7512023,Sample18,DX,Sample18_DX,GSM7512023_Sample18Dx_barcodes.tsv.gz,GSM7512023_Sample18Dx_features.tsv.gz,GSM7512023_Sample18Dx_matrix.mtx.gz
GSM7512025,Sample19,DX,Sample19_DX,GSM7512025_Sample19D_barcodes.tsv.gz,GSM7512025_Sample19D_features.tsv.gz,GSM7512025_Sample19D_matrix.mtx.gz
GSM7511999,Sample2,DX,Sample2_DX,GSM7511999_Sample2D_barcodes.tsv.gz,GSM7511999_Sample2D_features.tsv.gz,GSM7511999_Sample2D_matrix.mtx.gz
GSM7512027,Sample20,DX,Sample20_DX,GSM7512027_Sample20D_barcodes.tsv.gz,GSM7512027_Sample20D_features.tsv.gz,GSM7512027_Sample20D_matrix.mtx.gz
GSM7512000,Sample3,DX,Sample3_DX,GSM7512000_Sample3D_barcodes.tsv.gz,GSM7512000_Sample3D_features.tsv.gz,GSM7512000_Sample3D_matrix.mtx.gz
GSM7512002,Sample4,DX,Sample4_DX,GSM7512002_Sample4D_barcodes.tsv.gz,GSM7512002_Sample4D_features.tsv.gz,GSM7512002_Sample4D_matrix.mtx.gz
GSM7512003,Sample5,DX,Sample5_DX,GSM7512003_Sample5D_barcodes.tsv.gz,GSM7512003_Sample5D_features.tsv.gz,GSM7512003_Sample5D_matrix.mtx.gz
GSM7512006,Sample6,DX,Sample6_DX,GSM7512006_Sample6D_barcodes.tsv.gz,GSM7512006_Sample6D_features.tsv.gz,GSM7512006_Sample6D_matrix.mtx.gz
GSM7512009,Sample7,DX,Sample7_DX,GSM7512009_Sample7D_barcodes.tsv.gz,GSM7512009_Sample7D_features.tsv.gz,GSM7512009_Sample7D_matrix.mtx.gz
GSM7512010,Sample8,DX,Sample8_DX,GSM7512010_Sample8D_barcodes.tsv.gz,GSM7512010_Sample8D_features.tsv.gz,GSM7512010_Sample8D_matrix.mtx.gz
GSM7512011,Sample9,DX,Sample9_DX,GSM7512011_Sample9D_barcodes.tsv.gz,GSM7512011_Sample9D_features.tsv.gz,GSM7512011_Sample9D_matrix.mtx.gz
"
/Users/seung-hwan.kim/Desktop/Ecotype_OU_Branching/GSE235923/GSE235923_RAW/gse235923_manifest_eoi.csv,gse235923_manifest_eoi.csv,3,1521,{},{},True,,"gsm,sample_base,timepoint,sample_id,barcodes_file,features_file,matrix_file
GSM7512017,Sample14,EOI,Sample14_EOI,GSM7512017_Sample14E_barcodes.tsv.gz,GSM7512017_Sample14E_features.tsv.gz,GSM7512017_Sample14E_matrix.mtx.gz
GSM7512018,Sample15,EOI,Sample15_EOI,GSM7512018_Sample15E_barcodes.tsv.gz,GSM7512018_Sample15E_features.tsv.gz,GSM7512018_Sample15E_matrix.mtx.gz
GSM7512020,Sample16,EOI,Sample16_EOI,GSM7512020_Sample16E_barcodes.tsv.gz,GSM7512020_Sample16E_features.tsv.gz,GSM7512020_Sample16E_matrix.mtx.gz
GSM7512022,Sample17,EOI,Sample17_EOI,GSM7512022_Sample17E_barcodes.tsv.gz,GSM7512022_Sample17E_features.tsv.gz,GSM7512022_Sample17E_matrix.mtx.gz
GSM7512024,Sample18,EOI,Sample18_EOI,GSM7512024_Sample18E_barcodes.tsv.gz,GSM7512024_Sample18E_features.tsv.gz,GSM7512024_Sample18E_matrix.mtx.gz
GSM7512026,Sample19,EOI,Sample19_EOI,GSM7512026_Sample19E_barcodes.tsv.gz,GSM7512026_Sample19E_features.tsv.gz,GSM7512026_Sample19E_matrix.mtx.gz
GSM7512028,Sample20,EOI,Sample20_EOI,GSM7512028_Sample20E_barcodes.tsv.gz,GSM7512028_Sample20E_features.tsv.gz,GSM7512028_Sample20E_matrix.mtx.gz
GSM7512001,Sample3,EOI,Sample3_EOI,GSM7512001_Sample3E_barcodes.tsv.gz,GSM7512001_Sample3E_features.tsv.gz,GSM7512001_Sample3E_matrix.mtx.gz
GSM7512004,Sample5,EOI,Sample5_EOI,GSM7512004_Sample5E_barcodes.tsv.gz,GSM7512004_Sample5E_features.tsv.gz,GSM7512004_Sample5E_matrix.mtx.gz
GSM7512007,Sample6,EOI,Sample6_EOI,GSM7512007_Sample6E_barcodes.tsv.gz,GSM7512007_Sample6E_features.tsv.gz,GSM7512007_Sample6E_matrix.mtx.gz
"
/Users/seung-hwan.kim/Desktop/Ecotype_OU_Branching/GSE235923/GSE235923_RAW/gse235923_manifest_rel.csv,gse235923_manifest_rel.csv,3,358,{},{},True,,"gsm,sample_base,timepoint,sample_id,barcodes_file,features_file,matrix_file
GSM7512005,Sample5,REL,Sample5_REL,GSM7512005_Sample5R_barcodes.tsv.gz,GSM7512005_Sample5R_features.tsv.gz,GSM7512005_Sample5R_matrix.mtx.gz
GSM7512008,Sample6,REL,Sample6_REL,GSM7512008_Sample6R_barcodes.tsv.gz,GSM7512008_Sample6R_features.tsv.gz,GSM7512008_Sample6R_matrix.mtx.gz
"
