sample_id,gsm,sample,timepoint,GMP,HSC,Progenitor,Early.Erythrocyte,CD4.Naive,B.Cell,Monocytes,CD4.Memory,CD8.Memory,Early.Basophil,NK,Late.Erythrocyte,CD8.Naive,CD8.Effector,CLP,CD16.Monocytes,Pre.B.Cell,cDC,Plasma,Unknown,pDC
AML16_DX,GSM7494257,AML16,DX,0.2323516353411277,0.22731981648660649,0.15835429924522718,0.14237087464851264,0.060085836909871244,0.04469439100192393,0.023383158206304572,0.02323516353411277,0.018203344679591536,0.017315376646440728,0.01627941394109812,0.012431552464111291,0.008731685659316264,0.00547580287109664,0.003255882788219624,0.003107888116027823,0.001479946721918011,0.0011839573775344087,0.0004439840165754033,0.0001479946721918011,0.0001479946721918011
AML16_REL,GSM7494258,AML16,REL,0.07015192135835567,0.2457551385165326,0.13918677390527256,0.010053619302949061,0.04155495978552279,0.04579982126899017,0.011840929401251117,0.03038427167113494,0.044682752457551385,0.0,0.018543342269883824,0.010277033065236819,0.006478999106344951,0.0017873100983020554,0.2759159964253798,0.0,0.04267202859696157,0.0017873100983020554,0.002234137622877569,0.0008936550491510277,0.0
AML16_REM,GSM7494259,AML16,REM,0.002910925674364448,0.0067921599068503785,0.0,0.011255579274209199,0.2109450805356103,0.0019406171162429653,0.5218319425577334,0.08247622744032602,0.011255579274209199,0.0011643702697457792,0.014166504948573647,0.00019406171162429653,0.031049873859887445,0.02018241800892684,0.00038812342324859306,0.03066175043663885,0.00019406171162429653,0.024839899087909956,0.0,0.006598098195226082,0.02115272656704832
AML6_DX,GSM7494260,AML6,DX,0.4597755650387229,0.05958590169116485,0.09119645961751224,0.007112375533428165,0.06369527422159,0.07333649438912597,0.13734787418997946,0.016753595700964123,0.00474158368895211,0.005847953216374269,0.004425478109688636,0.0,0.008060692271218587,0.002212739054844318,0.00316105579263474,0.001264422317053896,0.010431484115694643,0.04773194246878457,0.002370791844476055,0.000948316737790422,0.0
AML6_REL,GSM7494261,AML6,REL,0.010451661067562523,0.6834639790966779,0.22172452407614782,0.0029861888764464353,0.022583053378126168,0.019783501306457632,0.0033594624860022394,0.010078387458006719,0.0031728256812243376,0.0005599104143337066,0.004292646509891751,0.0001866368047779022,0.0007465472191116088,0.0,0.009891750653228816,0.0001866368047779022,0.0035460992907801418,0.002799552071668533,0.0001866368047779022,0.0,0.0
AML6_REM,GSM7494262,AML6,REM,0.04399888610414926,0.003063213589529379,0.007797270955165692,0.050960735171261484,0.14062935115566694,0.000556947925368978,0.36480089111668057,0.053188526872737396,0.02729044834307992,0.000835421888053467,0.020050125313283207,0.14536340852130325,0.04399888610414926,0.016986911723753828,0.013088276246170982,0.011695906432748537,0.003898635477582846,0.0328599275967697,0.001113895850737956,0.001392369813422445,0.01642996379838485
AML2_DX,GSM7494263,AML2,DX,0.3920535171295358,0.05493614433407663,0.12385972025136834,0.0034461787958645854,0.005676059193188729,0.00608149199270221,0.3067099128319481,0.004662477194405028,0.003040745996351105,0.0028380295965943643,0.0018244475978106628,0.01297384958443138,0.000608149199270221,0.0010135819987837015,0.01844719237786337,0.0,0.014392864382728562,0.03729981755524022,0.0014190147982971822,0.002027163997567403,0.006689641191972431
AML2_REL,GSM7494264,AML2,REL,0.05301941049604601,0.40492451473759883,0.4074406901509705,0.0034148094895758447,0.023184759166067576,0.023544212796549245,0.003055355859094177,0.0066498921639108555,0.007728253055355859,0.0,0.004493170381020848,0.0035945363048166786,0.002336448598130841,0.0014378145219266715,0.042235801581595976,0.00017972681524083394,0.009705248023005032,0.0016175413371675054,0.0,0.0,0.0014378145219266715
AML2_REM,GSM7494265,AML2,REM,0.06902173913043479,0.025,0.02010869565217391,0.035869565217391305,0.11141304347826086,0.0,0.2875,0.029347826086956522,0.02282608695652174,0.002173913043478261,0.02717391304347826,0.21358695652173912,0.04673913043478261,0.005434782608695652,0.04184782608695652,0.020652173913043477,0.006521739130434782,0.013043478260869565,0.0,0.0010869565217391304,0.020652173913043477
AML15_DX,GSM7494266,AML15,DX,0.15371873447076362,0.21898293854563525,0.3306277952625476,0.13069405333775053,0.036607586549610736,0.020043067748881895,0.011098227596488323,0.016730163988736127,0.018055325492794434,0.0028159681961239026,0.026503230081166142,0.010435646844459169,0.006957097896306112,0.010766937220473746,0.0036441941361603446,0.0011595163160510187,0.00016564518800728838,0.0,0.0009938711280437303,0.0,0.0
AML15_REL,GSM7494267,AML15,REL,0.04031184635862331,0.1253089941053432,0.3382772390188249,0.226468910439247,0.0258604297394942,0.0517208594789884,0.0026621030614185207,0.02205742536603917,0.037649743297204795,0.003612854154782278,0.04202319832667808,0.024149077771439438,0.004563605248146035,0.0019015021867275148,0.010838562464346835,0.0013310515307092604,0.03860049439056855,0.0,0.0017113519680547634,0.0005704506560182544,0.00038030043734550294
AML15_REM,GSM7494268,AML15,REM,0.06581858407079647,0.09900442477876106,0.02654867256637168,0.015486725663716814,0.1786504424778761,0.0011061946902654867,0.14103982300884957,0.0702433628318584,0.05807522123893805,0.0,0.024336283185840708,0.1532079646017699,0.019358407079646017,0.04756637168141593,0.03263274336283186,0.007190265486725664,0.0,0.025442477876106196,0.0027654867256637168,0.0022123893805309734,0.0293141592920354
AML3_DX,GSM7494269,AML3,DX,0.24378226184889723,0.16776161426560302,0.1987329892069451,0.002580947911778508,0.014195213514781792,0.00680431722196152,0.22935241670577194,0.010323791647114031,0.007860159549507273,0.0009385265133740028,0.009267949319568277,0.001290473955889254,0.005631159080244017,0.0018770530267480056,0.021586109807602064,0.001290473955889254,0.009267949319568277,0.051853589863913654,0.0,0.003636790239324261,0.011966213045518537
AML3_REM,GSM7494270,AML3,REM,0.026976395653802922,0.0026227051330086175,0.007868115399025852,0.11952041963282128,0.18321468714874484,0.0003746721618583739,0.1476208317721993,0.057699512926189585,0.03934057699512926,0.0003746721618583739,0.04645934807043837,0.2199325590108655,0.031097789434245036,0.016485575121768452,0.03971524915698764,0.012364181341326339,0.016485575121768452,0.013862869988759834,0.0,0.0003746721618583739,0.017609591607343576
AML7_DX,GSM7494271,AML7,DX,0.0,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.5555555555555556,0.16666666666666666,0.05555555555555555,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AML7_REL,GSM7494272,AML7,REL,0.24233515329693406,0.05585888282234355,0.22637547249055018,0.00503989920201596,0.07685846283074338,0.02771944561108778,0.23309533809323812,0.039479210415791686,0.01889962200755985,0.0016799664006719867,0.019739605207895843,0.015539689206215875,0.013019739605207897,0.008399832003359933,0.00503989920201596,0.0008399832003359933,0.007559848803023939,0.00041999160016799666,0.0008399832003359933,0.00125997480050399,0.0
AML7_REM,GSM7494273,AML7,REM,0.008570139828597204,0.037889039242219216,0.010374379792512404,0.02616147947677041,0.2449255751014885,0.004961659900766802,0.2534957149300857,0.10464591790708164,0.037437979251240414,0.0009021199819576004,0.03698691926026162,0.10058637798827244,0.02751465944970681,0.02390617952187641,0.011276499774470004,0.007216959855660803,0.0031574199368516014,0.03112313937753721,0.0004510599909788002,0.0013531799729364006,0.02706359945872801
AML8_DX,GSM7494274,AML8,DX,0.10077696526508227,0.007312614259597806,0.7657678244972578,0.003656307129798903,0.07746800731261426,0.006398537477148081,0.002513711151736746,0.004341864716636197,0.0006855575868372943,0.0009140767824497258,0.005941499085923218,0.015996343692870202,0.0009140767824497258,0.0013711151736745886,0.002970749542961609,0.0,0.0015996343692870202,0.0006855575868372943,0.0004570383912248629,0.0,0.00022851919561243144
AML8_REL,GSM7494275,AML8,REL,0.01473725033934458,0.011246848943184022,0.8058949001357378,0.002714756641458212,0.06883847197983324,0.00795035873569905,0.003296490207484972,0.0288927671126624,0.0077564475470234635,0.0,0.004653868528214078,0.025208454527826257,0.006205158037618771,0.0029086678301337987,0.0029086678301337987,0.0,0.0005817335660267597,0.003296490207484972,0.0007756447547023463,0.0,0.0021330230754314523
AML8_REM,GSM7494276,AML8,REM,0.032013201320132016,0.0046204620462046205,0.03564356435643564,0.0372937293729373,0.2145214521452145,0.0,0.3726072607260726,0.10627062706270628,0.012541254125412541,0.0039603960396039604,0.01782178217821782,0.06468646864686468,0.029372937293729372,0.013201320132013201,0.015181518151815182,0.007590759075907591,0.005280528052805281,0.006930693069306931,0.0006600660066006601,0.0033003300330033004,0.0165016501650165
AML20_DX,GSM7494277,AML20,DX,0.14400630914826498,0.1309148264984227,0.1222397476340694,0.04085173501577287,0.013722397476340693,0.05962145110410095,0.3621451104100946,0.006309148264984227,0.0056782334384858045,0.019242902208201892,0.00473186119873817,0.00473186119873817,0.004574132492113565,0.0031545741324921135,0.015772870662460567,0.009936908517350157,0.002523659305993691,0.03675078864353312,0.0015772870662460567,0.004416403785488959,0.007097791798107256
AML20_REM,GSM7494278,AML20,REM,0.06934673366834171,0.013567839195979899,0.008040201005025126,0.02964824120603015,0.1814070351758794,0.001507537688442211,0.21256281407035177,0.04824120603015075,0.033668341708542715,0.001507537688442211,0.019597989949748745,0.2899497487437186,0.023618090452261306,0.008040201005025126,0.023618090452261306,0.0020100502512562816,0.005025125628140704,0.009547738693467337,0.0,0.0010050251256281408,0.018090452261306532
AML5_DX,GSM7494279,AML5,DX,0.2006441834028041,0.0028419856006062904,0.10932171276998863,0.004736642667677151,0.09283819628647215,0.16767715043577114,0.34103827207275483,0.01799924213717317,0.005494505494505495,0.0071996968548692685,0.014399393709738537,0.0035998484274346342,0.01667298219022357,0.0028419856006062904,0.00037893141341417203,0.0015157256536566881,0.00018946570670708602,0.00037893141341417203,0.0,0.010231148162182645,0.0
AML5_REL,GSM7494280,AML5,REL,0.07975314502729647,0.08497507714217897,0.16876335153097555,0.016852599098029906,0.07999050557797294,0.05862805601708996,0.39876572513648234,0.023973415618324233,0.005221932114882507,0.0,0.013054830287206266,0.0059340137669119395,0.0011868027533823878,0.0011868027533823878,0.009019700925706147,0.0009494422027059103,0.04676002848326608,0.0018988844054118206,0.0,0.0014241633040588653,0.001661523854735343
AML5_REM,GSM7494281,AML5,REM,0.055139720558882235,0.06412175648702595,0.04890219560878244,0.06811377245508982,0.17090818363273452,0.000998003992015968,0.1534431137724551,0.023952095808383235,0.014970059880239521,0.000499001996007984,0.016467065868263474,0.13248502994011976,0.027944111776447105,0.0124750499001996,0.09730538922155689,0.011726546906187624,0.004491017964071856,0.030439121756487025,0.0,0.000499001996007984,0.06511976047904192
AML17_DX,GSM7494282,AML17,DX,0.17635968092820883,0.25090645395213923,0.14633792603335752,0.011747643219724439,0.01551849166062364,0.01696881798404641,0.2838288614938361,0.007106598984771574,0.008846990572878898,0.004931109499637419,0.005076142131979695,0.002175489485134155,0.0024655547498187093,0.004496011602610588,0.016388687454677302,0.001595358955765047,0.0017403915881073241,0.03669325598259608,0.0,0.002320522117476432,0.004496011602610588
AML17_REL,GSM7494283,AML17,REL,0.002290825788153158,0.03458056070688339,0.04898003708956038,0.023126431766117596,0.19013854041671213,0.12381367950256354,0.2086833206065234,0.08945129268026618,0.06741573033707865,0.015817606632486093,0.06567033926039054,0.007854259845096542,0.012544998363695865,0.01985382349732737,0.009490563979491655,0.040798516417584814,0.005999781826115414,0.021817388458601504,0.0013090433075160903,0.006981564306752482,0.0033816952110832335
AML1_REM,GSM7494284,AML1,REM,0.08202914193200216,0.08229897463572584,0.6403130059363195,0.0029681597409606042,0.058014031300593634,0.03372908796546142,0.033998920669185105,0.016999460334592553,0.009174311926605505,0.009444144630329197,0.0124123043712898,0.007015650296815974,0.003507825148407987,0.004317323259579061,0.0,0.0008094981111710739,0.0002698327037236913,0.0018888289260658392,0.0,0.0008094981111710739,0.0
AML1_DX,GSM7494285,AML1,DX,0.06466692637319829,0.029606544604596805,0.02999610440202571,0.02999610440202571,0.031164783794312426,0.0007791195948578107,0.12699649396182314,0.014803272302298403,0.0218153486560187,0.0007791195948578107,0.005453837164004675,0.14920140241527075,0.009349435138293729,0.003506038176860148,0.32684067004285156,0.005453837164004675,0.08998831320607713,0.016361511492014025,0.0,0.0007791195948578107,0.04246201791975068
AML27_DX,GSM7494286,AML27,DX,0.11890243902439024,0.133130081300813,0.1402439024390244,0.020071138211382115,0.024136178861788617,0.03836382113821138,0.24491869918699186,0.015497967479674796,0.008638211382113821,0.008384146341463415,0.02032520325203252,0.0010162601626016261,0.0020325203252032522,0.0017784552845528454,0.022357723577235773,0.008130081300813009,0.01016260162601626,0.02108739837398374,0.00025406504065040653,0.006859756097560976,0.15370934959349594
AML27_REL,GSM7494287,AML27,REL,0.12406779661016949,0.03593220338983051,0.15638418079096045,0.03774011299435028,0.013333333333333334,0.0011299435028248588,0.08926553672316384,0.009265536723163843,0.00903954802259887,0.000903954802259887,0.01943502824858757,0.12700564971751413,0.0024858757062146894,0.004971751412429379,0.04994350282485876,0.005875706214689265,0.02327683615819209,0.02440677966101695,0.00022598870056497175,0.0,0.26531073446327685
AML27_REM,GSM7494288,AML27,REM,0.005844447774614117,0.0008991458114790948,0.0005994305409860632,0.0026974374344372848,0.4193016634197512,0.0020980068934512213,0.17233628053349317,0.1251311254308407,0.043158998950996556,0.0001498576352465158,0.09231230331185374,0.0004495729057395474,0.061291772815824964,0.01828263150007493,0.002247864528697737,0.01363704480743294,0.004046156151655927,0.011239322643488685,0.0010490034467256107,0.007343024127079274,0.015884909336130675
AML9_DX,GSM7494289,AML9,DX,0.06597753956100051,0.003445635528330781,0.019652884124553342,0.0016590096988259315,0.025523226135783564,0.031138335885655948,0.8080653394589076,0.007656967840735069,0.006253190403266973,0.0005104645227156713,0.012123532414497193,0.0007656967840735069,0.004338948443083206,0.002169474221541603,0.0005104645227156713,0.001276161306789178,0.00025523226135783564,0.0031904032669729456,0.0005104645227156713,0.0049770290964777945,0.0
AML9_REL,GSM7494290,AML9,REL,0.03340909090909091,0.041363636363636366,0.0525,0.0029545454545454545,0.38977272727272727,0.115,0.09909090909090909,0.095,0.05045454545454545,0.00022727272727272727,0.05613636363636364,0.02090909090909091,0.014318181818181818,0.004318181818181818,0.010227272727272727,0.0025,0.010227272727272727,0.0009090909090909091,0.0,0.0006818181818181819,0.0
AML9_REM,GSM7494291,AML9,REM,0.011606819006166122,0.0003627130939426913,0.002176278563656148,0.0029017047515415306,0.2593398621690243,0.0003627130939426913,0.14109539354370693,0.12005803409503082,0.06964091403699674,0.0,0.10700036271309395,0.02974247370330069,0.07653246282190787,0.08015959376133479,0.0025389916575988395,0.030467899891186073,0.0003627130939426913,0.025752629669931085,0.0,0.0025389916575988395,0.03735944867609721
AML10_DX,GSM7494292,AML10,DX,0.2604659973479826,0.10835385489676075,0.29532108353854897,0.004167455957567721,0.009471490812653912,0.029929910967986362,0.21538170107974997,0.0020837279787838604,0.0020837279787838604,0.0043568857738207995,0.002652017427543095,0.0,0.0028414472437961733,0.00037885963250615644,0.01401780640272779,0.0005682894487592347,0.025004735745406327,0.017995832544042432,0.0,0.004925175222580034,0.0
AML10_REL,GSM7494293,AML10,REL,0.1569767441860465,0.28604651162790695,0.17906976744186046,0.03527131782945737,0.008914728682170543,0.013565891472868217,0.1697674418604651,0.008914728682170543,0.009689922480620155,0.03798449612403101,0.004651162790697674,0.034108527131782945,0.0,0.0011627906976744186,0.015116279069767442,0.0,0.003875968992248062,0.034496124031007755,0.0,0.0,0.0003875968992248062
